NTAX,PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF,SECS
100,10000000,1e-10,1,0,25,astral-multi,0.010309,19
100,10000000,1e-10,1,0,25,apro,0.010309,4
100,10000000,1e-10,1,0,25,apro-w-true,0.010309,4
100,10000000,1e-10,1,0,25,apro-v2,0.010309,4
100,10000000,1e-10,1,0,25,astrid,0.092784,0
100,10000000,1e-10,1,0,25,duptree,0.010309,25
100,10000000,1e-10,1,0,25,fastmulrfs-single,0.010309,2
100,10000000,1e-10,1,0,25,mulrf,0.010309,104
100,10000000,1e-10,1,0,25,stag,NA,NA
100,10000000,1e-10,1,0,50,astral-multi,0.0,43
100,10000000,1e-10,1,0,50,apro,0.0,6
100,10000000,1e-10,1,0,50,apro-w-true,0.0,3
100,10000000,1e-10,1,0,50,apro-v2,0.0,4
100,10000000,1e-10,1,0,50,astrid,0.113402,0
100,10000000,1e-10,1,0,50,duptree,0.0,51
100,10000000,1e-10,1,0,50,fastmulrfs-single,0.0,10
100,10000000,1e-10,1,0,50,mulrf,0.0,232
100,10000000,1e-10,1,0,50,stag,NA,NA
100,10000000,1e-10,1,0,100,astral-multi,0.0,98
100,10000000,1e-10,1,0,100,apro,0.0,5
100,10000000,1e-10,1,0,100,apro-w-true,0.0,8
100,10000000,1e-10,1,0,100,apro-v2,0.0,6
100,10000000,1e-10,1,0,100,astrid,0.072165,0
100,10000000,1e-10,1,0,100,duptree,0.0,101
100,10000000,1e-10,1,0,100,fastmulrfs-single,0.0,5
100,10000000,1e-10,1,0,100,mulrf,0.0,563
100,10000000,1e-10,1,0,100,stag,0.030928,0
100,10000000,1e-10,1,0,500,astral-multi,0.0,561
100,10000000,1e-10,1,0,500,apro,0.0,13
100,10000000,1e-10,1,0,500,apro-w-true,0.0,17
100,10000000,1e-10,1,0,500,apro-v2,0.0,20
100,10000000,1e-10,1,0,500,astrid,0.030928,2
100,10000000,1e-10,1,0,500,duptree,0.0,497
100,10000000,1e-10,1,0,500,fastmulrfs-single,0.0,18
100,10000000,1e-10,1,0,500,mulrf,0.0,5974
100,10000000,1e-10,1,0,500,stag,0.010309,3
100,10000000,1e-10,1,25,25,astral-multi,0.257732,41
100,10000000,1e-10,1,25,25,apro,0.216495,6
100,10000000,1e-10,1,25,25,apro-w-true,0.206186,4
100,10000000,1e-10,1,25,25,apro-v2,0.206186,8
100,10000000,1e-10,1,25,25,astrid,0.257732,0
100,10000000,1e-10,1,25,25,duptree,0.731959,33
100,10000000,1e-10,1,25,25,fastmulrfs-single,0.206186,4
100,10000000,1e-10,1,25,25,mulrf,0.206186,105
100,10000000,1e-10,1,25,25,stag,NA,NA
100,10000000,1e-10,1,25,50,astral-multi,0.298969,124
100,10000000,1e-10,1,25,50,apro,0.134021,5
100,10000000,1e-10,1,25,50,apro-w-true,0.134021,6
100,10000000,1e-10,1,25,50,apro-v2,0.134021,9
100,10000000,1e-10,1,25,50,astrid,0.257732,0
100,10000000,1e-10,1,25,50,duptree,0.556701,65
100,10000000,1e-10,1,25,50,fastmulrfs-single,0.175258,8
100,10000000,1e-10,1,25,50,mulrf,0.164948,283
100,10000000,1e-10,1,25,50,stag,NA,NA
100,10000000,1e-10,1,25,100,astral-multi,0.195876,250
100,10000000,1e-10,1,25,100,apro,0.123711,9
100,10000000,1e-10,1,25,100,apro-w-true,0.123711,6
100,10000000,1e-10,1,25,100,apro-v2,0.123711,15
100,10000000,1e-10,1,25,100,astrid,0.237113,0
100,10000000,1e-10,1,25,100,duptree,0.360825,117
100,10000000,1e-10,1,25,100,fastmulrfs-single,0.092784,22
100,10000000,1e-10,1,25,100,mulrf,0.092784,587
100,10000000,1e-10,1,25,100,stag,0.628866,1
100,10000000,1e-10,1,25,500,astral-multi,0.072165,1741
100,10000000,1e-10,1,25,500,apro,0.041237,33
100,10000000,1e-10,1,25,500,apro-w-true,0.041237,35
100,10000000,1e-10,1,25,500,apro-v2,0.041237,32
100,10000000,1e-10,1,25,500,astrid,0.092784,2
100,10000000,1e-10,1,25,500,duptree,0.216495,637
100,10000000,1e-10,1,25,500,fastmulrfs-single,0.030928,272
100,10000000,1e-10,1,25,500,mulrf,0.030928,7248
100,10000000,1e-10,1,25,500,stag,0.365979,33
100,10000000,1e-10,1,50,25,astral-multi,0.164948,34
100,10000000,1e-10,1,50,25,apro,0.113402,5
100,10000000,1e-10,1,50,25,apro-w-true,0.113402,4
100,10000000,1e-10,1,50,25,apro-v2,0.113402,7
100,10000000,1e-10,1,50,25,astrid,0.185567,0
100,10000000,1e-10,1,50,25,duptree,0.350515,30
100,10000000,1e-10,1,50,25,fastmulrfs-single,0.082474,3
100,10000000,1e-10,1,50,25,mulrf,0.061856,96
100,10000000,1e-10,1,50,25,stag,NA,NA
100,10000000,1e-10,1,50,50,astral-multi,0.082474,61
100,10000000,1e-10,1,50,50,apro,0.092784,8
100,10000000,1e-10,1,50,50,apro-w-true,0.092784,5
100,10000000,1e-10,1,50,50,apro-v2,0.092784,6
100,10000000,1e-10,1,50,50,astrid,0.195876,0
100,10000000,1e-10,1,50,50,duptree,0.216495,54
100,10000000,1e-10,1,50,50,fastmulrfs-single,0.020619,6
100,10000000,1e-10,1,50,50,mulrf,0.051546,258
100,10000000,1e-10,1,50,50,stag,NA,NA
100,10000000,1e-10,1,50,100,astral-multi,0.082474,158
100,10000000,1e-10,1,50,100,apro,0.030928,7
100,10000000,1e-10,1,50,100,apro-w-true,0.030928,11
100,10000000,1e-10,1,50,100,apro-v2,0.030928,14
100,10000000,1e-10,1,50,100,astrid,0.185567,4
100,10000000,1e-10,1,50,100,duptree,0.206186,110
100,10000000,1e-10,1,50,100,fastmulrfs-single,0.051546,13
100,10000000,1e-10,1,50,100,mulrf,0.041237,550
100,10000000,1e-10,1,50,100,stag,0.494845,1
100,10000000,1e-10,1,50,500,astral-multi,0.030928,764
100,10000000,1e-10,1,50,500,apro,0.030928,26
100,10000000,1e-10,1,50,500,apro-w-true,0.030928,25
100,10000000,1e-10,1,50,500,apro-v2,0.030928,27
100,10000000,1e-10,1,50,500,astrid,0.103093,3
100,10000000,1e-10,1,50,500,duptree,0.154639,541
100,10000000,1e-10,1,50,500,fastmulrfs-single,0.020619,155
100,10000000,1e-10,1,50,500,mulrf,0.020619,6810
100,10000000,1e-10,1,50,500,stag,0.268041,39
100,10000000,1e-10,1,100,25,astral-multi,0.072165,20
100,10000000,1e-10,1,100,25,apro,0.061856,6
100,10000000,1e-10,1,100,25,apro-w-true,0.061856,4
100,10000000,1e-10,1,100,25,apro-v2,0.061856,5
100,10000000,1e-10,1,100,25,astrid,0.14433,0
100,10000000,1e-10,1,100,25,duptree,0.257732,28
100,10000000,1e-10,1,100,25,fastmulrfs-single,0.082474,2
100,10000000,1e-10,1,100,25,mulrf,0.082474,91
